split_seed,train_seed,task,method,accuracy_mean,accuracy_std,macro_f1_mean,query_nll_mean,episode_count
6,2,breastmnist,shared,0.6516666779915492,0.10211837058106776,0.647303365667661,0.7532931337753932,30
6,2,breastmnist,single,0.6600000143051148,0.10839741804313788,0.6509312525391578,0.7210155407587687,30
6,2,breastmnist,source_bloodmnist,0.6558333506186803,0.10781595878607032,0.6477741040289402,0.6999659279982249,30
6,2,breastmnist,source_organmnist,0.6591666758060455,0.10837422020419897,0.6484636972347896,0.7488432834545772,30
6,2,breastmnist,source_pathmnist,0.6491666783889135,0.0996725947725492,0.6436240886648495,0.7055602689584096,30
6,2,breastmnist,source_pneumoniamnist,0.6175000111262003,0.11947262122909098,0.6113181807100773,0.7267262736956278,30
6,2,breastmnist,source_tissuemnist,0.6683333476384481,0.11313200368680673,0.6613718698422114,0.6715288778146108,30
6,2,octmnist,shared,0.4362500081459681,0.09734348480195738,0.4284515756492813,1.331730310122172,30
6,2,octmnist,single,0.4329166769981384,0.10639484775782011,0.42406051345169543,1.3239694992701212,30
6,2,octmnist,source_bloodmnist,0.4500000089406967,0.10995689025298026,0.4442452305306991,1.2593517303466797,30
6,2,octmnist,source_organmnist,0.4300000081459681,0.09730196612675854,0.4223905640343825,1.3439464370409648,30
6,2,octmnist,source_pathmnist,0.43750000894069674,0.10545468525263453,0.43102722174177566,1.2760433435440064,30
6,2,octmnist,source_pneumoniamnist,0.43875000774860384,0.10278189238553814,0.4306991674626867,1.2779363671938577,30
6,2,octmnist,source_tissuemnist,0.4462500055631002,0.09537528015791649,0.4390253193366031,1.24609534740448,30
6,3,breastmnist,shared,0.6283333450555801,0.1328943936757817,0.6182381654779117,0.7417934169371923,30
6,3,breastmnist,single,0.6408333480358124,0.13006684802852364,0.628980099906524,0.6867153575023015,30
6,3,breastmnist,source_bloodmnist,0.6408333440621694,0.1258562662439419,0.6319109787543614,0.7034589270750682,30
6,3,breastmnist,source_organmnist,0.6358333468437195,0.1274219411394684,0.6246169784416755,0.7210789382457733,30
6,3,breastmnist,source_pathmnist,0.6258333454529444,0.13269152611624857,0.6177304174751044,0.7182401051123937,30
6,3,breastmnist,source_pneumoniamnist,0.6150000145037969,0.11718685415682004,0.6077151539425055,0.7421732644240061,30
6,3,breastmnist,source_tissuemnist,0.6400000075499217,0.12328128623303439,0.6320785212020079,0.6716823597749074,30
6,3,octmnist,shared,0.4566666707396507,0.10915690164304973,0.4497843307753404,1.2886186997095743,30
6,3,octmnist,single,0.45750000774860383,0.1068555282924319,0.4520097366844614,1.2879539410273233,30
6,3,octmnist,source_bloodmnist,0.4741666704416275,0.11189653096947899,0.4675622849414746,1.255986758073171,30
6,3,octmnist,source_organmnist,0.4450000102321307,0.10624873985119822,0.43971389789755144,1.3342542131741841,30
6,3,octmnist,source_pathmnist,0.4516666755080223,0.10063020220777397,0.4449455805122852,1.2852975050608317,30
6,3,octmnist,source_pneumoniamnist,0.45500000764926274,0.11360093673884401,0.45013539139181374,1.2728657166163126,30
6,3,octmnist,source_tissuemnist,0.47125000804662703,0.11267467392436757,0.4632235030333201,1.2249496579170227,30
6,4,breastmnist,shared,0.6683333446582158,0.09535173402910846,0.6574376760671536,0.7363936652739843,30
6,4,breastmnist,single,0.6758333494265875,0.10697311957373332,0.6643802333623171,0.7729779203732808,30
6,4,breastmnist,source_bloodmnist,0.6583333402872086,0.08937843901097711,0.6508515161772569,0.7193377276261648,30
6,4,breastmnist,source_organmnist,0.6650000075499217,0.10819841736266791,0.6517028855780761,0.7328303088744481,30
6,4,breastmnist,source_pathmnist,0.6558333466450373,0.10185421664583721,0.6462778021891912,0.7055286178986232,30
6,4,breastmnist,source_pneumoniamnist,0.6475000103314718,0.11434785278844621,0.6386785397926966,0.7345849891503652,30
6,4,breastmnist,source_tissuemnist,0.6683333436648051,0.10523646031983482,0.6551872514188289,0.6503764828046162,30
6,4,octmnist,shared,0.4287500063578288,0.08586213107962702,0.4215437616221607,1.3606237530708314,30
6,4,octmnist,single,0.43916667650143304,0.09142863794224482,0.4341587917879224,1.3239383578300477,30
6,4,octmnist,source_bloodmnist,0.4633333434661229,0.10144077270015968,0.4568406637137135,1.2391286691029866,30
6,4,octmnist,source_organmnist,0.41916667222976683,0.07794044151191713,0.4135218936949968,1.395848019917806,30
6,4,octmnist,source_pathmnist,0.4495833396911621,0.0900480835127518,0.442223931911091,1.2500656127929688,30
6,4,octmnist,source_pneumoniamnist,0.4520833412806193,0.09457729101136407,0.4435282232860724,1.2432539463043213,30
6,4,octmnist,source_tissuemnist,0.4591666728258133,0.08000089815260147,0.4474716901779175,1.207490615049998,30
36,2,bloodmnist,shared,0.47937500725189847,0.11838248615748526,0.47148798558240135,1.671160380045573,30
36,2,bloodmnist,single,0.4829166730244954,0.12340505403746384,0.47451014431814353,1.657486657301585,30
36,2,bloodmnist,source_breastmnist,0.46687500725189846,0.1169630759860412,0.4591240727653106,1.725289253393809,30
36,2,bloodmnist,source_dermamnist,0.48833334346612295,0.11226908157294646,0.4780962507550915,1.6627501130104065,30
36,2,bloodmnist,source_octmnist,0.4772916759053866,0.1231160141389113,0.47081356795194246,1.7293399453163147,30
36,2,bloodmnist,source_organmnist,0.4856250117222468,0.12595700980870858,0.47750868313014505,1.6838326732317606,30
36,2,bloodmnist,source_tissuemnist,0.4764583433667819,0.12188669723913498,0.4669063015685727,1.701755980650584,30
36,2,pathmnist,shared,0.6275926053524017,0.09626356391882748,0.624279078606654,1.2776367346445718,30
36,2,pathmnist,single,0.6279629757006963,0.10042993687120114,0.624097418109024,1.3076890309651692,30
36,2,pathmnist,source_breastmnist,0.5979629735151927,0.0944329862403352,0.5939533765393274,1.3991663972536723,30
36,2,pathmnist,source_dermamnist,0.5853703846534093,0.09857956065943313,0.5822951172788938,1.3569551467895509,30
36,2,pathmnist,source_octmnist,0.6290740936994552,0.1025918253042749,0.6257244324932496,1.3568524837493896,30
36,2,pathmnist,source_organmnist,0.6235185384750366,0.09767065535924352,0.6198207756573403,1.3080823858579,30
36,2,pathmnist,source_tissuemnist,0.6068518728017807,0.09660789891519732,0.6026036907677297,1.3545087734858194,30
36,3,bloodmnist,shared,0.4958333452542623,0.10146201732435783,0.47997295112969973,1.6473894834518432,30
36,3,bloodmnist,single,0.5004166801770528,0.10526206020404807,0.4854084558784962,1.664002001285553,30
36,3,bloodmnist,source_breastmnist,0.4802083412806193,0.10992115658871122,0.46885331089918814,1.7282359997431438,30
36,3,bloodmnist,source_dermamnist,0.4768750081459681,0.09510019545486514,0.46200498851637045,1.7550272345542908,30
36,3,bloodmnist,source_octmnist,0.47562501281499864,0.11049884692735829,0.4642588471372922,1.774397857983907,30
36,3,bloodmnist,source_organmnist,0.4925000081459681,0.10851912953043978,0.4800213323595623,1.7037260333697002,30
