scope,split_seed,task,masked_expert,mean_accuracy_drop,accuracy_drop_ci_low,accuracy_drop_ci_high,mean_nll_increase,episode_count,analysis_only_query_label_derived
router_candidate,6,breastmnist,shared,0.002777777115503947,0.0011111107137468125,0.004999996572732926,-0.0014841943979263307,90,True
router_candidate,6,breastmnist,source_bloodmnist,0.004999998211860657,0.0011111107137468125,0.010833329632878304,-0.0017324540350172255,90,True
router_candidate,6,breastmnist,source_organmnist,0.0027777784400516087,0.0008333345254262288,0.005277778704961141,0.002998933858341641,90,True
router_candidate,6,breastmnist,source_pathmnist,0.0024999989403618706,0.0008333325386047363,0.004722219705581665,-0.0008036971092224121,90,True
router_candidate,6,breastmnist,source_pneumoniamnist,0.0016666664017571343,0.0,0.005000000198682149,0.0032147268454233804,90,True
router_candidate,6,breastmnist,source_tissuemnist,0.006111111243565877,0.0030555539660983614,0.010000000397364298,0.01182167563173506,90,True
router_candidate,6,octmnist,shared,0.0013888882266150581,0.0001388887564341227,0.003611109985245598,-0.0007503045929802788,90,True
router_candidate,6,octmnist,source_bloodmnist,0.004305557409922282,0.0020833326710595025,0.006805560986200968,0.004658467239803738,90,True
router_candidate,6,octmnist,source_organmnist,0.002361110846201579,0.0004166666004392836,0.004999999867545234,-0.006115056408776178,90,True
router_candidate,6,octmnist,source_pathmnist,0.0009722226195865208,0.0,0.002222224084867372,0.0008331921365525987,90,True
router_candidate,6,octmnist,source_pneumoniamnist,0.000416666931576199,0.0,0.0009722219573126898,0.001189108689626058,90,True
router_candidate,6,octmnist,source_tissuemnist,0.009027778771188525,0.005138888623979356,0.013888888897167311,0.0257645050684611,90,True
router_candidate,36,bloodmnist,shared,0.0036111113097932602,0.0010416679912143283,0.007430554769105382,0.008889696333143446,90,True
router_candidate,36,bloodmnist,source_breastmnist,0.0006249994039535522,0.00013888874815569982,0.0013194441795349122,0.001023309760623508,90,True
router_candidate,36,bloodmnist,source_dermamnist,0.004375000132454766,0.0013888885577519735,0.007916668388578628,0.004949178960588243,90,True
router_candidate,36,bloodmnist,source_octmnist,0.0009027785725063748,0.0,0.0025000029140048556,-0.005317028363545736,90,True
router_candidate,36,bloodmnist,source_organmnist,0.003611112137635549,0.0013888865626520584,0.0065972248713175455,0.0020664996571011012,90,True
router_candidate,36,bloodmnist,source_tissuemnist,0.0011111113760206434,0.00027777817514207625,0.002430554901560148,0.0009041759702894422,90,True
