split_seed,train_seed,task,shots,support_resample,episode_hash,primary_oracle,top1_expert,top2_expert,top1_top2_accuracy_margin,exact_accuracy_tie,epsilon_accuracy,epsilon_optimal_size,epsilon_optimal_experts
6,3,octmnist,5,0,738c9bb616ae0d45933325a2813ee11762e3924e265f18c520edd2c27bce3704,source_organmnist,source_organmnist,shared,0.050000011920928955,False,0.01,1,source_organmnist
6,3,octmnist,5,1,4586d859df8e214a1f4fb13b83c13a08f83b45a49e0f744cddb3980ffbef360e,source_tissuemnist,source_tissuemnist,source_pathmnist,0.012499988079071045,False,0.01,1,source_tissuemnist
6,3,octmnist,5,2,d25592388a83f76c9d5b6dd8abde5b28e2423f3208ff1f56c8d7be85cfb99baf,source_tissuemnist,source_tissuemnist,source_bloodmnist,0.01250004768371582,False,0.01,1,source_tissuemnist
6,3,octmnist,5,3,4736dbb23ea714a9dc6bc53cbfc0963c86567986f039ed84f0cf81b7bc9be019,source_tissuemnist,source_tissuemnist,shared,0.012499988079071045,False,0.01,1,source_tissuemnist
6,3,octmnist,5,4,5f59120e95db9dd57c70b1efbfc585eb6e4d9149aeb917f5fd96503c50dc70e2,source_bloodmnist,source_bloodmnist,shared,0.0,True,0.01,2,shared|source_bloodmnist
6,3,octmnist,5,5,69461726fee37ff24980f685565583d61dd7f66c245f152dbcfafce1e1fa2da7,source_pneumoniamnist,source_pneumoniamnist,shared,0.01250004768371582,False,0.01,1,source_pneumoniamnist
6,3,octmnist,5,6,4d0a89bef0ab56831c8c99232ddebff5df29d2a24ab23da8bb19bf5ed02343f7,source_tissuemnist,source_tissuemnist,source_bloodmnist,0.0,True,0.01,2,source_bloodmnist|source_tissuemnist
6,3,octmnist,5,7,9570d82620c868d778f39d2dc3b26c54ffe30142826b6035fde7378320bed80b,source_bloodmnist,source_bloodmnist,shared,0.0,True,0.01,3,shared|source_bloodmnist|source_organmnist
6,3,octmnist,5,8,8def1613fcaad96a2eed36d4f54dcddc52f68292cf9a533ee653a33ec5fb86bf,source_bloodmnist,source_bloodmnist,source_pathmnist,0.012499988079071045,False,0.01,1,source_bloodmnist
6,3,octmnist,5,9,5666a7c4e03869151f7e33198c0e4db58f3f07b8a36fa6511644cb77800a134a,source_bloodmnist,source_bloodmnist,source_pathmnist,0.02499997615814209,False,0.01,1,source_bloodmnist
