mask_type,split_seed,task,masked_expert,episode_count,conditional_episode_count,affected_accuracy_episode_count,mean_accuracy_drop,accuracy_drop_ci_low,accuracy_drop_ci_high,mean_loss_increase,loss_increase_ci_low,loss_increase_ci_high,analysis_only_query_label_derived
leave_one_expert_out_unconditional,0,pneumoniamnist,shared,18,8,2,0.0027777751286824546,0.0,0.006944437821706136,0.04925462934705946,-0.000893324613571167,0.14747316307491726,True
leave_one_expert_out_unconditional,0,pneumoniamnist,single,18,1,0,0.0,0.0,0.0,0.0016004244486490886,0.0,0.0038625399271647134,True
leave_one_expert_out_unconditional,0,pneumoniamnist,source_bloodmnist,18,0,0,0.0,0.0,0.0,0.0017386724551518757,0.0,0.0052160173654556274,True
leave_one_expert_out_unconditional,0,pneumoniamnist,source_breastmnist,18,3,3,0.008333336975839403,0.0,0.018055564827389188,-0.003332710928387112,-0.022770226001739502,0.01309912403424581,True
leave_one_expert_out_unconditional,0,pneumoniamnist,source_dermamnist,18,1,1,0.0013888875643412273,0.0,0.004166662693023682,-0.0016396095355351765,-0.00491882860660553,0.0,True
leave_one_expert_out_unconditional,0,pneumoniamnist,source_organmnist,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
leave_one_expert_out_unconditional,0,pneumoniamnist,source_pathmnist,18,5,5,0.01111111044883728,0.0027777751286824546,0.022222217586305406,0.018906633059183758,0.006920331054263645,0.03343762879570325,True
leave_one_expert_out_unconditional,0,tissuemnist,shared,18,4,4,0.0024305548932817248,0.0003472218910853068,0.0048611097865634495,-0.006725688775380452,-0.02040500111050076,0.0004024373160468207,True
leave_one_expert_out_unconditional,0,tissuemnist,single,18,5,5,0.0027777767843670314,0.0006944437821706136,0.005208331677648757,0.023909701241387263,-0.0022029942936367458,0.06954153378804524,True
leave_one_expert_out_unconditional,0,tissuemnist,source_bloodmnist,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
leave_one_expert_out_unconditional,0,tissuemnist,source_breastmnist,18,2,0,0.0,0.0,0.0,0.0009222626686096191,0.0,0.0027667880058288574,True
leave_one_expert_out_unconditional,0,tissuemnist,source_dermamnist,18,2,2,0.002083333002196418,0.0,0.005902777115503947,0.016979700989193387,-0.01173482338587443,0.06267392635345459,True
leave_one_expert_out_unconditional,0,tissuemnist,source_organmnist,18,3,3,0.0013888883921835157,0.0,0.0031249995032946267,0.002156926525963677,-0.0020785199271308053,0.007710821098751492,True
leave_one_expert_out_unconditional,0,tissuemnist,source_pathmnist,18,2,2,0.0027777767843670314,0.0,0.007638886570930481,-0.0028362472852071128,-0.007177796628740098,0.0,True
leave_one_expert_out_unconditional,1,dermamnist,shared,18,3,2,0.0012345678276485866,0.0,0.0032627864016426932,0.006578339470757378,-0.0021811326344807944,0.02191615104675293,True
leave_one_expert_out_unconditional,1,dermamnist,single,18,6,4,0.0032060990730921426,0.00039682620101504854,0.006412196490499709,-0.009782916969723172,-0.03455150127410889,0.004788259665171306,True
leave_one_expert_out_unconditional,1,dermamnist,source_breastmnist,18,2,2,0.0008377424544758267,0.0,0.002072310282124413,-0.005114813645680745,-0.014247390958997939,0.0,True
leave_one_expert_out_unconditional,1,dermamnist,source_octmnist,18,2,2,0.0008818341626061334,0.0,0.0022045854065153333,-0.00034108426835801866,-0.004450738430023193,0.0034274856249491372,True
leave_one_expert_out_unconditional,1,dermamnist,source_pathmnist,18,0,0,0.0,0.0,0.0,0.004708217249976264,0.0,0.013321757316589355,True
leave_one_expert_out_unconditional,1,dermamnist,source_pneumoniamnist,18,1,1,0.0022675726148817274,0.0,0.006802717844645183,-0.0016031331486172145,-0.004809399445851644,0.0,True
leave_one_expert_out_unconditional,1,dermamnist,source_tissuemnist,18,4,4,0.004195014635721843,0.00039682620101504854,0.009523815620276663,0.00010515583886040581,-0.004603286584218343,0.003779821925693088,True
leave_one_expert_out_unconditional,1,organamnist,shared,18,2,1,0.00025252501169840497,0.0,0.0007575750350952148,0.004415803485446506,0.0,0.013247410456339518,True
leave_one_expert_out_unconditional,1,organamnist,single,18,1,1,0.0010101000467936199,0.0,0.0030303001403808594,-0.004230784045325385,-0.012692352135976156,0.0,True
leave_one_expert_out_unconditional,1,organamnist,source_breastmnist,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
leave_one_expert_out_unconditional,1,organamnist,source_octmnist,18,6,5,0.003282831774817573,0.000505051679081387,0.006565665205319722,-0.018942177295684814,-0.07069870498445299,0.02161272366841634,True
leave_one_expert_out_unconditional,1,organamnist,source_pathmnist,18,2,1,0.00025252501169840497,0.0,0.0007575750350952148,0.01006260183122423,-0.00493054919772678,0.03053565157784356,True
leave_one_expert_out_unconditional,1,organamnist,source_pneumoniamnist,18,5,4,0.003030305107434591,0.0005050500233968099,0.006313131915198432,0.009148101011912027,-0.01510334677166409,0.037821529308954854,True
leave_one_expert_out_unconditional,1,organamnist,source_tissuemnist,18,2,2,0.0010101000467936199,0.0,0.0025252501169840493,-0.00047329399320814345,-0.016309837500254314,0.014889955520629883,True
leave_one_expert_out_unconditional,1,organcmnist,shared,18,3,2,0.005303030212720235,0.0,0.014393938912285699,0.012112398942311605,-0.0003583563698662652,0.03591148969199916,True
leave_one_expert_out_unconditional,1,organcmnist,single,18,1,1,0.0010101008746359083,0.0,0.003030302623907725,-0.0096358855565389,-0.0289076566696167,0.0,True
leave_one_expert_out_unconditional,1,organcmnist,source_breastmnist,18,3,3,0.0025252517726686266,0.0,0.00606060524781545,-0.012462529871198866,-0.03633787234624227,0.005827612347073025,True
leave_one_expert_out_unconditional,1,organcmnist,source_octmnist,18,4,4,0.0032828268077638415,0.0005050500233968099,0.007828280329704285,-0.057019962204827204,-0.10972868071662055,-0.011300550566779243,True
leave_one_expert_out_unconditional,1,organcmnist,source_pathmnist,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
leave_one_expert_out_unconditional,1,organcmnist,source_pneumoniamnist,18,6,6,0.00782828281323115,0.002020200921429528,0.01540404311898682,0.04108827643924289,0.006795439455244277,0.08458106882042356,True
leave_one_expert_out_unconditional,1,organcmnist,source_tissuemnist,18,1,1,0.0005050500233968099,0.0,0.0015151500701904297,-0.005777835845947266,-0.017333507537841797,0.0,True
leave_one_expert_out_unconditional,1,organsmnist,shared,18,3,2,0.0025252517726686266,0.0,0.00707070529460907,0.00036840968661838106,-0.0006393194198608398,0.0017445484797159831,True
leave_one_expert_out_unconditional,1,organsmnist,single,18,3,3,0.0020202050606409707,0.0,0.004292936788664924,0.004973842038048638,-0.002235359615749783,0.01514002349641588,True
leave_one_expert_out_unconditional,1,organsmnist,source_breastmnist,18,1,1,0.00025252501169840497,0.0,0.0007575750350952148,0.0012364122602674696,0.0,0.0037092367808024087,True
leave_one_expert_out_unconditional,1,organsmnist,source_octmnist,18,3,1,0.0012626267141766017,0.0,0.0037878801425298056,-0.010543929206000434,-0.031631787618001304,0.0,True
leave_one_expert_out_unconditional,1,organsmnist,source_pathmnist,18,3,3,0.0015151517258750068,0.0,0.0035353534751468236,0.014193865987989638,-0.01875283983018663,0.04808925257788764,True
leave_one_expert_out_unconditional,1,organsmnist,source_pneumoniamnist,18,5,5,0.003787879314687517,0.0010101000467936199,0.007323232810530397,0.01407778925365872,-0.004914654625786675,0.038040750556521945,True
leave_one_expert_out_unconditional,1,organsmnist,source_tissuemnist,18,0,0,0.0,0.0,0.0,0.001215166515774197,0.0,0.0036454995473225913,True
global_most_used_conditional,0,pneumoniamnist,shared,8,8,2,0.0062499940395355225,0.0,0.015624985098838806,0.11082291603088379,-0.0020099803805351257,0.3303562328219414,True
global_most_used_conditional,0,tissuemnist,shared,4,4,4,0.010937497019767761,0.0078124962747097015,0.012500002980232239,-0.030265599489212036,-0.091391921043396,0.002285867929458618,True
global_most_used_conditional,1,dermamnist,shared,3,3,2,0.0074074069658915205,0.0,0.01428571343421936,0.03947003682454427,-0.013086795806884766,0.13149690628051758,True
global_most_used_conditional,1,organamnist,shared,2,2,1,0.0022727251052856445,0.0,0.004545450210571289,0.039742231369018555,0.0,0.07948446273803711,True
global_most_used_conditional,1,organcmnist,shared,3,3,2,0.03181818127632141,0.0,0.06818181276321411,0.07267439365386963,-0.0032252073287963867,0.20705461502075195,True
global_most_used_conditional,1,organsmnist,shared,3,3,2,0.015151510636011759,0.0,0.0363636314868927,0.0022104581197102866,-0.003835916519165039,0.010467290878295898,True
task_modal_conditional,0,pneumoniamnist,shared,8,8,2,0.0062499940395355225,0.0,0.015624985098838806,0.11082291603088379,-0.0020099803805351257,0.3304365277290344,True
task_modal_conditional,0,tissuemnist,single,5,5,5,0.009999996423721314,0.007499992847442627,0.0125,0.08607492446899415,-0.007930779457092285,0.2349231481552124,True
task_modal_conditional,1,dermamnist,single,6,6,4,0.009618297219276428,0.0035714308420817056,0.01566516359647115,-0.029348750909169514,-0.10042534271876018,0.014364778995513916,True
task_modal_conditional,1,organamnist,source_octmnist,6,6,5,0.009848495324452719,0.0037878849854071934,0.016666685541470844,-0.05682653188705444,-0.1937285860379537,0.07475650310516357,True
task_modal_conditional,1,organcmnist,source_pneumoniamnist,6,6,6,0.02348484843969345,0.01136363297700882,0.03787879149119059,0.12326482931772868,0.039826273918151855,0.20804844299952188,True
task_modal_conditional,1,organsmnist,source_pneumoniamnist,5,5,5,0.013636365532875061,0.008181822299957276,0.019090911746025084,0.02602884769439697,-0.029223823547363283,0.09406087398529053,True
