split_seed,task,condition_dimension,level_count,audit_episode_modal_expert_loss_tiebreak,level_modal_expert,level_modal_consistency,distinct_level_best_experts,mean_pairwise_spearman_rank,minimum_pairwise_spearman_rank,mean_top1_top2_accuracy_margin,median_top1_top2_accuracy_margin,near_tie_rate_accuracy_margin_le_0_01,mean_best_second_loss_margin,accuracy_top_tie_rate
0,pneumoniamnist,train_seed,2,source_pathmnist,source_pathmnist,0.5,2,-0.03571428571428572,-0.03571428571428572,0.023611110117700364,0.02499997615814209,0.3888888888888889,0.032394054863188,0.3888888888888889
0,pneumoniamnist,shots,3,source_pathmnist,source_dermamnist,0.3333333333333333,3,-0.2057888245140944,-0.5272727272727272,0.023611110117700364,0.02499997615814209,0.3888888888888889,0.032394054863188,0.3888888888888889
0,pneumoniamnist,support_resample,3,source_pathmnist,source_pathmnist,0.6666666666666666,2,-0.08506591008569415,-0.5225437283634242,0.023611110117700364,0.02499997615814209,0.3888888888888889,0.032394054863188,0.3888888888888889
0,tissuemnist,train_seed,2,single,source_dermamnist,0.5,2,0.25,0.25,0.011458329856395721,0.012499988079071045,0.4444444444444444,0.031123181184132893,0.1111111111111111
0,tissuemnist,shots,3,single,single,0.6666666666666666,2,0.18640921748610664,-0.07142857142857144,0.011458329856395721,0.012499988079071045,0.4444444444444444,0.031123181184132893,0.1111111111111111
0,tissuemnist,support_resample,3,single,single,0.6666666666666666,2,0.16666666666666666,-0.21428571428571433,0.011458329856395721,0.012499988079071045,0.4444444444444444,0.031123181184132893,0.1111111111111111
1,dermamnist,train_seed,2,single,source_octmnist,0.5,2,-0.10714285714285716,-0.10714285714285716,0.01262283076842626,0.0079365074634552,0.6111111111111112,0.016353560818566218,0.16666666666666666
1,dermamnist,shots,3,single,source_tissuemnist,0.3333333333333333,3,0.15101814456535756,-0.28571428571428575,0.01262283076842626,0.0079365074634552,0.6111111111111112,0.016353560818566218,0.16666666666666666
1,dermamnist,support_resample,3,single,source_tissuemnist,0.3333333333333333,3,-0.09523809523809525,-0.7142857142857144,0.01262283076842626,0.0079365074634552,0.6111111111111112,0.016353560818566218,0.16666666666666666
1,organamnist,train_seed,2,source_pneumoniamnist,source_pneumoniamnist,1.0,1,0.5357142857142858,0.5357142857142858,0.008838386999236213,0.009090900421142578,0.7222222222222222,0.0680009126663208,0.2222222222222222
1,organamnist,shots,3,source_pneumoniamnist,source_pneumoniamnist,0.6666666666666666,2,0.6282859967342893,0.34235623582431246,0.008838386999236213,0.009090900421142578,0.7222222222222222,0.0680009126663208,0.2222222222222222
1,organamnist,support_resample,3,source_pneumoniamnist,source_pneumoniamnist,0.6666666666666666,2,0.22104612722193692,0.09009374626955591,0.008838386999236213,0.009090900421142578,0.7222222222222222,0.0680009126663208,0.2222222222222222
1,organcmnist,train_seed,2,source_pneumoniamnist,source_pneumoniamnist,1.0,1,0.8571428571428573,0.8571428571428573,0.02045454250441657,0.013636358082294464,0.4444444444444444,0.040209306610955134,0.05555555555555555
1,organcmnist,shots,3,source_pneumoniamnist,source_octmnist,0.6666666666666666,2,0.761904761904762,0.642857142857143,0.02045454250441657,0.013636358082294464,0.4444444444444444,0.040209306610955134,0.05555555555555555
1,organcmnist,support_resample,3,source_pneumoniamnist,source_pneumoniamnist,0.6666666666666666,2,0.6190476190476192,0.5357142857142858,0.02045454250441657,0.013636358082294464,0.4444444444444444,0.040209306610955134,0.05555555555555555
1,organsmnist,train_seed,2,source_pneumoniamnist,shared,0.5,2,0.18018749253911182,0.18018749253911182,0.011363639599747129,0.009090922772884369,0.5555555555555556,0.04694469107521905,0.16666666666666666
1,organsmnist,shots,3,source_pneumoniamnist,source_pneumoniamnist,0.6666666666666666,2,0.32142857142857145,-0.1785714285714286,0.011363639599747129,0.009090922772884369,0.5555555555555556,0.04694469107521905,0.16666666666666666
1,organsmnist,support_resample,3,source_pneumoniamnist,source_pneumoniamnist,0.6666666666666666,2,0.36904761904761907,0.21428571428571433,0.011363639599747129,0.009090922772884369,0.5555555555555556,0.04694469107521905,0.16666666666666666
